CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,IsParent,CustomerPriority,IncomeLevel
27,MR.,NOAH,SCOTT,1953-02-14,M,M,noah42@adventure-works.com,60000.0,3.0,Graduate Degree,Management,Y,Yes,Standard,Average
28,MS.,BRIANNA,RICHARDSON,1966-11-02,S,F,brianna36@adventure-works.com,60000.0,0.0,Graduate Degree,Skilled Manual,N,No,Standard,Average
29,MRS.,SARAH,THOMPSON,1954-04-25,S,F,sarah17@adventure-works.com,20000.0,3.0,Partial High School,Clerical,N,Yes,Standard,Low
30,MR.,SAMUEL,GRIFFIN,1959-03-02,M,M,samuel20@adventure-works.com,60000.0,4.0,Graduate Degree,Skilled Manual,Y,Yes,Standard,Average
31,MRS.,JORDYN,BRYANT,1954-08-15,M,F,jordyn17@adventure-works.com,20000.0,3.0,Partial High School,Clerical,N,Yes,Standard,Low
32,MR.,THOMAS,ZHANG,1955-03-21,M,M,thomas26@adventure-works.com,40000.0,1.0,Partial College,Clerical,Y,Yes,Standard,Average
33,MRS.,KELLY,HENDERSON,1967-09-13,S,F,kelly9@adventure-works.com,70000.0,2.0,Bachelors,Skilled Manual,Y,Yes,Standard,Average
34,MRS.,VANESSA,BRYANT,1969-03-05,M,F,vanessa19@adventure-works.com,70000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,Average
35,MR.,MARCUS,ANDERSON,1962-10-25,M,M,marcus10@adventure-works.com,70000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
36,MS.,JESSICA,JOHNSON,1974-03-14,S,F,jessica48@adventure-works.com,40000.0,0.0,High School,Skilled Manual,Y,No,Standard,Average
37,MR.,DANIEL,HARRIS,1974-03-19,S,M,daniel10@adventure-works.com,30000.0,0.0,Partial High School,Skilled Manual,Y,No,Standard,Average
38,MS.,GABRIELLA,MORRIS,1968-05-04,S,F,gabriella17@adventure-works.com,80000.0,0.0,Bachelors,Management,N,No,Standard,High
39,MRS.,JORDAN,GONZALEZ,1933-04-14,S,F,jordan37@adventure-works.com,90000.0,3.0,Graduate Degree,Management,Y,Yes,Standard,High
40,MRS.,BAILEY,ADAMS,1964-08-19,M,F,bailey35@adventure-works.com,90000.0,5.0,Partial College,Professional,Y,Yes,Standard,High
41,MRS.,SARA,PETERSON,1955-12-26,S,F,sara5@adventure-works.com,70000.0,4.0,High School,Professional,Y,Yes,Standard,Average
42,MR.,WILLIE,KUMAR,1951-04-18,M,M,willie27@adventure-works.com,70000.0,2.0,High School,Professional,Y,Yes,Standard,Average
43,MR.,FERNANDO,PHILLIPS,1932-11-18,M,M,fernando39@adventure-works.com,60000.0,2.0,Graduate Degree,Management,Y,Yes,Standard,Average
44,MRS.,JASMINE,WHITE,1962-07-10,M,F,jasmine11@adventure-works.com,100000.0,1.0,Partial College,Professional,Y,Yes,Standard,High
45,MR.,JEROME,DIAZ,1961-06-18,S,M,jerome3@adventure-works.com,80000.0,5.0,Partial College,Professional,Y,Yes,Standard,High
46,MR.,CLAYTON,SHAN,1941-10-18,M,M,clayton28@adventure-works.com,130000.0,2.0,Bachelors,Management,Y,Yes,High,High
47,MS.,MACKENZIE,SANDERS,1974-06-04,S,F,mackenzie2@adventure-works.com,30000.0,0.0,Graduate Degree,Skilled Manual,Y,No,Standard,Average
96,MR.,ERIC,JAI,1958-04-11,M,M,eric40@adventure-works.com,70000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,Average
48,MR.,BRIAN,HOWARD,1970-05-08,S,M,brian23@adventure-works.com,70000.0,3.0,Graduate Degree,Professional,Y,Yes,Standard,Average
49,MRS.,ROBYN,RUIZ,1969-02-25,M,F,robyn1@adventure-works.com,70000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,Average
50,MR.,OSCAR,FOSTER,1969-10-21,M,M,oscar2@adventure-works.com,70000.0,5.0,Graduate Degree,Professional,N,Yes,Standard,Average
51,MRS.,ISABELLE,BUTLER,1965-03-09,S,F,isabelle13@adventure-works.com,80000.0,3.0,Bachelors,Skilled Manual,Y,Yes,Standard,High
52,MR.,DALTON,HILL,1963-07-24,S,M,dalton28@adventure-works.com,60000.0,0.0,Bachelors,Professional,N,No,Standard,Average
53,MRS.,YOLANDA,LUO,1960-08-14,M,F,yolanda5@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
54,MR.,HUNTER,HILL,1977-07-26,S,M,hunter39@adventure-works.com,40000.0,0.0,Partial High School,Clerical,N,No,Standard,Average
55,MRS.,MARY,GONZALEZ,1957-02-28,S,F,mary21@adventure-works.com,60000.0,2.0,High School,Professional,Y,Yes,Standard,Average
56,MR.,JONATHAN,JACKSON,1943-02-26,S,M,jonathan65@adventure-works.com,110000.0,2.0,Bachelors,Management,Y,Yes,High,High
57,MS.,SYDNEY,WARD,1974-03-03,S,F,sydney13@adventure-works.com,30000.0,0.0,High School,Skilled Manual,N,No,Standard,Average
58,MRS.,GABRIELLE,GONZALES,1965-04-16,S,F,gabrielle39@adventure-works.com,100000.0,3.0,Bachelors,Management,Y,Yes,Standard,High
59,MRS.,NICOLE,HENDERSON,1960-07-22,M,F,nicole53@adventure-works.com,90000.0,4.0,High School,Professional,Y,Yes,Standard,High
60,MRS.,DANIELLE,ROGERS,1968-11-23,M,F,danielle22@adventure-works.com,100000.0,2.0,Bachelors,Management,Y,Yes,Standard,High
61,MR.,CHRISTOPHER,JONES,1968-09-06,M,M,christopher27@adventure-works.com,100000.0,3.0,Bachelors,Management,Y,Yes,Standard,High
62,MRS.,HANNAH,HENDERSON,1971-04-22,M,F,hannah28@adventure-works.com,60000.0,1.0,Graduate Degree,Professional,Y,Yes,Standard,Average
63,MR.,CHARLES,WILSON,1969-03-27,M,M,charles10@adventure-works.com,70000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,Average
64,MRS.,MORGAN,MITCHELL,1956-07-09,M,F,morgan8@adventure-works.com,40000.0,1.0,Partial College,Clerical,Y,Yes,Standard,Average
65,MR.,RICHARD,HARRIS,1976-12-28,M,M,richard54@adventure-works.com,40000.0,0.0,High School,Skilled Manual,Y,No,Standard,Average
66,MR.,MATTHEW,ANDERSON,1978-03-25,S,M,matthew15@adventure-works.com,40000.0,0.0,High School,Skilled Manual,Y,No,Standard,Average
67,MR.,KYLE,GONZALES,1976-07-02,S,M,kyle12@adventure-works.com,40000.0,0.0,High School,Skilled Manual,N,No,Standard,Average
68,MRS.,NICOLE,BRYANT,1971-05-15,M,F,nicole67@adventure-works.com,60000.0,1.0,Graduate Degree,Skilled Manual,Y,Yes,Standard,Average
69,MRS.,GRACE,WATSON,1947-09-21,M,F,grace44@adventure-works.com,60000.0,2.0,Bachelors,Management,Y,Yes,Standard,Average
70,MR.,EDUARDO,BROOKS,1947-04-19,M,M,eduardo68@adventure-works.com,70000.0,4.0,Bachelors,Management,Y,Yes,Standard,Average
71,MR.,EVAN,GREEN,1947-08-10,M,M,evan41@adventure-works.com,80000.0,5.0,Bachelors,Management,Y,Yes,Standard,High
72,MRS.,CATHERINE,RICHARDSON,1949-08-25,S,F,catherine8@adventure-works.com,60000.0,2.0,Partial College,Professional,N,Yes,Standard,Average
73,MR.,JASON,SHARMA,1949-04-08,M,M,jason27@adventure-works.com,60000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
74,MRS.,EMILY,PATTERSON,1950-02-03,S,F,emily35@adventure-works.com,60000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
75,MS.,ALYSSA,WHITE,1964-01-05,S,F,alyssa12@adventure-works.com,90000.0,0.0,Partial College,Professional,N,No,Standard,High
76,MRS.,JULIA,LEE,1953-09-06,S,F,julia43@adventure-works.com,70000.0,3.0,Graduate Degree,Management,Y,Yes,Standard,Average
77,MRS.,RACHEL,GRAY,1939-05-14,M,F,rachel42@adventure-works.com,110000.0,2.0,Graduate Degree,Management,N,Yes,High,High
78,MR.,NATHANIEL,HOWARD,1967-10-19,S,M,nathaniel12@adventure-works.com,40000.0,0.0,Bachelors,Professional,N,No,Standard,Average
79,MR.,ERNEST,SHE,1966-10-24,M,M,ernest21@adventure-works.com,70000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,Average
80,MRS.,MADELINE,PEREZ,1969-10-20,S,F,madeline12@adventure-works.com,70000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,Average
81,MR.,ROBERT,JENKINS,1961-05-21,M,M,robert20@adventure-works.com,40000.0,4.0,High School,Skilled Manual,Y,Yes,Standard,Average
82,MR.,LUKE,LOPEZ,1959-07-14,M,M,luke44@adventure-works.com,60000.0,4.0,Bachelors,Professional,Y,Yes,Standard,Average
83,MR.,JOHNNY,KUMAR,1942-04-11,M,M,johnny8@adventure-works.com,80000.0,5.0,Bachelors,Management,Y,Yes,Standard,High
84,MRS.,CHLOE,THOMPSON,1942-02-18,M,F,chloe26@adventure-works.com,120000.0,2.0,Graduate Degree,Management,N,Yes,High,High
85,MS.,ERIN,BROOKS,1973-11-07,M,F,erin5@adventure-works.com,80000.0,0.0,Bachelors,Management,N,No,Standard,High
86,MR.,XAVIER,YOUNG,1974-07-25,M,M,xavier23@adventure-works.com,60000.0,0.0,Partial College,Professional,Y,No,Standard,Average
87,MR.,ROBERT,DIAZ,1950-04-25,M,M,robert33@adventure-works.com,60000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
88,MRS.,ABIGAIL,JOHNSON,1933-07-15,M,F,abigail48@adventure-works.com,90000.0,4.0,Bachelors,Management,Y,Yes,Standard,High
89,MRS.,JENNA,BAKER,1956-10-13,M,F,jenna16@adventure-works.com,70000.0,4.0,Partial College,Professional,Y,Yes,Standard,Average
90,MRS.,MADISON,SMITH,1961-08-06,S,F,madison0@adventure-works.com,90000.0,4.0,High School,Professional,N,Yes,Standard,High
91,MRS.,NICOLE,KELLY,1954-09-25,M,F,nicole46@adventure-works.com,60000.0,2.0,Partial High School,Skilled Manual,Y,Yes,Standard,Average
92,MRS.,MARIA,HILL,1937-07-23,M,F,maria63@adventure-works.com,70000.0,4.0,Graduate Degree,Management,Y,Yes,Standard,Average
93,MR.,CALEB,ROBERTS,1971-11-12,M,M,caleb33@adventure-works.com,60000.0,1.0,Graduate Degree,Professional,Y,Yes,Standard,Average
94,MRS.,KRISTY,DIAZ,1965-02-04,S,F,kristy3@adventure-works.com,80000.0,3.0,Bachelors,Skilled Manual,Y,Yes,Standard,High
95,MR.,BRAD,LAL,1962-11-02,M,M,brad8@adventure-works.com,40000.0,4.0,High School,Skilled Manual,Y,Yes,Standard,Average
97,MRS.,JULIA,SIMMONS,1953-10-04,M,F,julia81@adventure-works.com,30000.0,1.0,Bachelors,Skilled Manual,Y,Yes,Standard,Average
98,MS.,JANET,TORRES,1975-02-07,S,F,janet30@adventure-works.com,30000.0,0.0,High School,Skilled Manual,N,No,Standard,Average
99,MR.,HUNTER,JONES,1975-11-09,S,M,hunter62@adventure-works.com,30000.0,0.0,Partial College,Skilled Manual,Y,No,Standard,Average
100,MR.,AARON,SCOTT,1973-12-13,M,M,aaron45@adventure-works.com,60000.0,0.0,Partial College,Skilled Manual,Y,No,Standard,Average
101,MR.,ISAIAH,PARKER,1932-06-12,S,M,isaiah21@adventure-works.com,70000.0,3.0,Graduate Degree,Management,Y,Yes,Standard,Average
102,MRS.,KATELYN,ADAMS,1936-09-02,S,F,katelyn39@adventure-works.com,50000.0,2.0,Graduate Degree,Management,Y,Yes,Standard,Average
103,MR.,GARRETT,COOK,1954-06-06,M,M,garrett26@adventure-works.com,60000.0,2.0,Partial High School,Skilled Manual,N,Yes,Standard,Average
104,MRS.,CASSIDY,BENNETT,1970-10-02,M,F,cassidy1@adventure-works.com,50000.0,1.0,Bachelors,Skilled Manual,Y,Yes,Standard,Average
105,MR.,SETH,WILSON,1969-11-20,M,M,seth7@adventure-works.com,60000.0,1.0,Graduate Degree,Professional,Y,Yes,Standard,Average
106,MRS.,BRIANNA,HENDERSON,1964-09-21,S,F,brianna51@adventure-works.com,60000.0,4.0,Bachelors,Skilled Manual,Y,Yes,Standard,Average
107,MR.,HUNTER,WILLIAMS,1963-02-07,M,M,hunter61@adventure-works.com,70000.0,4.0,Bachelors,Professional,Y,Yes,Standard,Average
108,MRS.,GABRIELLA,MITCHELL,1962-03-09,S,F,gabriella34@adventure-works.com,70000.0,1.0,Bachelors,Professional,N,Yes,Standard,Average
109,MR.,TYLER,JACKSON,1958-10-24,M,M,tyler0@adventure-works.com,60000.0,1.0,Bachelors,Professional,Y,Yes,Standard,Average
110,MRS.,ANA,HAYES,1958-11-26,M,F,ana21@adventure-works.com,80000.0,5.0,Graduate Degree,Management,Y,Yes,Standard,High
111,MR.,MITCHELL,NARA,1950-05-16,M,M,mitchell14@adventure-works.com,60000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
112,MRS.,KELLIE,RUIZ,1950-10-04,S,F,kellie2@adventure-works.com,60000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
113,MR.,SEAN,KING,1964-12-06,M,M,sean50@adventure-works.com,90000.0,5.0,Partial College,Professional,Y,Yes,Standard,High
114,MS.,CASSIE,KENNEDY,1979-11-26,M,F,cassie6@adventure-works.com,40000.0,0.0,High School,Skilled Manual,Y,No,Standard,Average
115,MRS.,ALEXANDRA,SCOTT,1971-02-04,M,F,alexandra55@adventure-works.com,60000.0,1.0,Graduate Degree,Skilled Manual,Y,Yes,Standard,Average
116,MR.,BLAKE,LEWIS,1972-10-08,M,M,blake21@adventure-works.com,60000.0,1.0,Graduate Degree,Skilled Manual,Y,Yes,Standard,Average
117,MRS.,ARIANNA,STEWART,1952-12-24,S,F,arianna44@adventure-works.com,40000.0,3.0,Partial College,Professional,Y,Yes,Standard,Average
118,MR.,THOMAS,FOSTER,1973-05-11,S,M,thomas18@adventure-works.com,80000.0,0.0,Bachelors,Management,N,No,Standard,High
119,MRS.,KAYLEE,RICHARDSON,1972-03-13,M,F,kaylee7@adventure-works.com,60000.0,1.0,Graduate Degree,Skilled Manual,Y,Yes,Standard,Average
120,MRS.,STEPHANIE,COOK,1968-07-17,S,F,stephanie8@adventure-works.com,70000.0,2.0,Bachelors,Skilled Manual,N,Yes,Standard,Average
121,MR.,RAMON,LIU,1964-09-15,M,M,ramon3@adventure-works.com,60000.0,4.0,Bachelors,Skilled Manual,Y,Yes,Standard,Average
122,MRS.,OLIVIA,RIVERA,1956-10-10,M,F,olivia33@adventure-works.com,30000.0,2.0,High School,Skilled Manual,N,Yes,Standard,Average
123,MR.,BENJAMIN,HUGHES,1980-08-25,M,M,benjamin12@adventure-works.com,40000.0,0.0,High School,Skilled Manual,Y,No,Standard,Average
124,MR.,DANIEL,LEWIS,1978-09-20,M,M,daniel12@adventure-works.com,40000.0,0.0,Partial College,Skilled Manual,Y,No,Standard,Average
125,MS.,STACEY,CHEN,1973-10-19,M,F,stacey2@adventure-works.com,70000.0,0.0,Partial College,Professional,Y,No,Standard,Average
126,MR.,LUCAS,ADAMS,1971-12-17,M,M,lucas47@adventure-works.com,60000.0,1.0,Graduate Degree,Professional,Y,Yes,Standard,Average
127,MRS.,ALYSSA,THOMPSON,1974-06-09,S,F,alyssa15@adventure-works.com,40000.0,3.0,Partial College,Clerical,Y,Yes,Standard,Average
128,MRS.,KAITLYN,TORRES,1972-09-08,M,F,kaitlyn60@adventure-works.com,50000.0,1.0,Bachelors,Skilled Manual,Y,Yes,Standard,Average
129,MRS.,CARMEN,RAMAN,1961-11-22,S,F,carmen15@adventure-works.com,80000.0,5.0,Partial College,Professional,Y,Yes,Standard,High
130,MR.,SEBASTIAN,SANDERS,1954-07-04,M,M,sebastian3@adventure-works.com,60000.0,2.0,Partial High School,Skilled Manual,Y,Yes,Standard,Average
131,MR.,ELIJAH,MCDONALD,1975-06-22,S,M,elijah47@adventure-works.com,30000.0,0.0,High School,Skilled Manual,N,No,Standard,Average
132,MR.,CAMERON,RUSSELL,1967-07-22,S,M,cameron15@adventure-works.com,40000.0,0.0,Bachelors,Professional,N,No,Standard,Average
133,MRS.,ANGELICA,DIAZ,1954-04-04,M,F,angelica21@adventure-works.com,30000.0,1.0,High School,Clerical,Y,Yes,Standard,Average
134,MRS.,MICHELLE,BROOKS,1960-10-05,M,F,michelle3@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
135,MR.,CONNOR,HALL,1960-04-09,M,M,connor49@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,N,Yes,Standard,Average
136,MR.,BRYCE,MORRIS,1953-03-12,S,M,bryce17@adventure-works.com,60000.0,3.0,Graduate Degree,Management,Y,Yes,Standard,Average
137,MRS.,ERIN,RAMIREZ,1940-08-19,S,F,erin11@adventure-works.com,70000.0,5.0,Graduate Degree,Management,Y,Yes,Standard,Average
138,MR.,JERMAINE,MEHTA,1974-10-08,S,M,jermaine12@adventure-works.com,30000.0,0.0,Partial High School,Skilled Manual,N,No,Standard,Average
139,MR.,JORDAN,PERRY,1965-05-16,S,M,jordan4@adventure-works.com,90000.0,5.0,Partial College,Professional,Y,Yes,Standard,High
140,MR.,JARED,RAMIREZ,1942-10-18,M,M,jared10@adventure-works.com,70000.0,5.0,Bachelors,Management,Y,Yes,Standard,Average
141,MR.,JOSE,LEE,1953-10-21,M,M,jose65@adventure-works.com,20000.0,2.0,High School,Manual,N,Yes,Standard,Low
142,MR.,GLENN,GAO,1958-11-06,M,M,glenn16@adventure-works.com,40000.0,2.0,Partial College,Clerical,Y,Yes,Standard,Average
143,MRS.,STEPHANIE,POWELL,1958-10-05,M,F,stephanie36@adventure-works.com,80000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,High
144,MR.,DYLAN,ALEXANDER,1971-11-06,M,M,dylan18@adventure-works.com,60000.0,1.0,Graduate Degree,Skilled Manual,Y,Yes,Standard,Average
145,MR.,JUSTIN,COLEMAN,1963-10-02,S,M,justin2@adventure-works.com,90000.0,0.0,Partial College,Professional,N,No,Standard,High
146,MR.,RICHARD,JACKSON,1977-06-12,M,M,richard52@adventure-works.com,40000.0,0.0,Partial College,Skilled Manual,Y,No,Standard,Average
147,MR.,MANUEL,SURI,1956-03-03,M,M,manuel0@adventure-works.com,70000.0,3.0,Partial College,Professional,N,Yes,Standard,Average
148,MR.,CARLOS,COX,1962-05-24,S,M,carlos12@adventure-works.com,40000.0,3.0,High School,Skilled Manual,Y,Yes,Standard,Average
149,MR.,JOSEPH,SMITH,1947-02-03,S,M,joseph6@adventure-works.com,70000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
150,MRS.,MARIAH,JENKINS,1950-04-03,M,F,mariah11@adventure-works.com,60000.0,2.0,High School,Professional,Y,Yes,Standard,Average
151,MRS.,VANESSA,BUTLER,1952-08-21,S,F,vanessa15@adventure-works.com,70000.0,2.0,Partial High School,Skilled Manual,N,Yes,Standard,Average
152,MR.,SETH,WHITE,1963-05-26,S,M,seth13@adventure-works.com,70000.0,4.0,Bachelors,Professional,Y,Yes,Standard,Average
153,MR.,CARLOS,MITCHELL,1958-05-14,M,M,carlos40@adventure-works.com,80000.0,5.0,Graduate Degree,Skilled Manual,Y,Yes,Standard,High
154,MR.,ALEX,ADAMS,1962-06-24,M,M,alex43@adventure-works.com,70000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
155,MR.,ROBERT,TAYLOR,1960-07-12,M,M,robert67@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
156,MR.,ANGEL,ROGERS,1960-07-17,M,M,angel18@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
157,MR.,CONNOR,SCOTT,1935-03-10,M,M,connor42@adventure-works.com,50000.0,2.0,Graduate Degree,Management,Y,Yes,Standard,Average
158,MRS.,JENNIFER,SMITH,1952-11-21,S,F,jennifer28@adventure-works.com,40000.0,3.0,Partial College,Professional,Y,Yes,Standard,Average
159,MRS.,MYA,DIAZ,1941-08-19,M,F,mya0@adventure-works.com,60000.0,3.0,Graduate Degree,Management,Y,Yes,Standard,Average
160,MRS.,JADA,NELSON,1941-05-04,S,F,jada21@adventure-works.com,60000.0,3.0,Graduate Degree,Management,Y,Yes,Standard,Average
161,MR.,SETH,BAILEY,1944-05-21,M,M,seth87@adventure-works.com,40000.0,4.0,High School,Professional,Y,Yes,Standard,Average
162,MRS.,TRINITY,GRAY,1972-06-18,M,F,trinity5@adventure-works.com,50000.0,1.0,Bachelors,Skilled Manual,Y,Yes,Standard,Average
163,MRS.,TAYLOR,GONZALES,1970-11-07,M,F,taylor41@adventure-works.com,40000.0,1.0,Bachelors,Skilled Manual,Y,Yes,Standard,Average
164,MR.,CONNOR,ROBERTS,1970-04-11,M,M,connor33@adventure-works.com,60000.0,2.0,Graduate Degree,Professional,Y,Yes,Standard,Average
165,MR.,DAVID,GRIFFIN,1970-12-06,M,M,david54@adventure-works.com,70000.0,3.0,Graduate Degree,Professional,Y,Yes,Standard,Average
166,MRS.,BAILEY,GREEN,1974-07-17,S,F,bailey34@adventure-works.com,40000.0,3.0,Partial College,Clerical,Y,Yes,Standard,Average
167,MRS.,HALEY,MURPHY,1957-12-08,M,F,haley6@adventure-works.com,30000.0,2.0,High School,Skilled Manual,Y,Yes,Standard,Average
168,MRS.,ALEXANDRIA,MORGAN,1973-07-11,S,F,alexandria35@adventure-works.com,40000.0,1.0,Graduate Degree,Skilled Manual,Y,Yes,Standard,Average
169,MR.,LUCAS,RUSSELL,1951-04-18,M,M,lucas67@adventure-works.com,60000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
170,MRS.,JULIA,ROBERTS,1958-09-05,M,F,julia10@adventure-works.com,80000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,High
171,MS.,KAYLEE,HERNANDEZ,1976-09-13,S,F,kaylee41@adventure-works.com,30000.0,0.0,High School,Skilled Manual,N,No,Standard,Average
172,MRS.,LAUREN,ROGERS,1968-12-05,S,F,lauren1@adventure-works.com,90000.0,4.0,Partial College,Skilled Manual,N,Yes,Standard,High
173,MR.,BRYCE,COOPER,1954-01-22,S,M,bryce7@adventure-works.com,70000.0,2.0,Partial High School,Skilled Manual,Y,Yes,Standard,Average
174,MRS.,KATHERINE,BROOKS,1935-10-18,S,F,katherine22@adventure-works.com,50000.0,2.0,Graduate Degree,Management,N,Yes,Standard,Average
175,MRS.,RACHEL,BUTLER,1952-10-25,M,F,rachel62@adventure-works.com,40000.0,3.0,Partial College,Professional,Y,Yes,Standard,Average
176,MR.,BRANDON,SHARMA,1957-01-02,M,M,brandon27@adventure-works.com,60000.0,2.0,High School,Professional,N,Yes,Standard,Average
177,MR.,ALEX,MURPHY,1970-11-18,M,M,alex19@adventure-works.com,40000.0,1.0,Bachelors,Skilled Manual,Y,Yes,Standard,Average
178,MR.,JONATHAN,HUGHES,1964-01-27,S,M,jonathan11@adventure-works.com,40000.0,0.0,Bachelors,Professional,N,No,Standard,Average
179,MRS.,JOCELYN,JENKINS,1963-09-21,M,F,jocelyn7@adventure-works.com,70000.0,4.0,Bachelors,Professional,Y,Yes,Standard,Average
180,MS.,GRACE,PETERSON,1974-01-02,M,F,grace40@adventure-works.com,50000.0,0.0,Graduate Degree,Skilled Manual,Y,No,Standard,Average
181,MRS.,GABRIELLA,WATSON,1931-08-13,M,F,gabriella6@adventure-works.com,40000.0,1.0,Graduate Degree,Skilled Manual,Y,Yes,Standard,Average
182,MRS.,NICOLE,WATSON,1965-05-10,M,F,nicole44@adventure-works.com,100000.0,4.0,Partial College,Professional,Y,Yes,Standard,High
